搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
RTX 5090 自营,七彩虹（Colorful）隐星G16 Pro 14代酷睿i9 16英寸游戏笔记本电脑(i9-14900HX 32G 1T RTX5090 2.5K 300Hz）,21919.00,七彩虹（Colorful）电脑京东自营旗舰店,RTX5090,10万+,jfs/t1/401979/21/13381/131889/69b2843aF89a32b16/0083320320a17511.jpg,1000408422,电竞高刷屏;独显直连,100241672030,10万+,100241672030
RTX 5090 自营,机械师全新曙光16Pro【RTX5090国家补贴】16英寸AI办公游戏笔记本电脑(酷睿U9 275HX 300Hz 2.5K 32G1T),23999.00,机械师京东自营旗舰店,RTX5090,2万+,jfs/t20280429/423116/29/22214/197157/69f319bbF2eb33bda/0a023203204f86fa.jpg,1000013681,金属质感;大屏显示;三风扇散热;32G高速内存,100205929402,3万+,100205929402
RTX 5090 自营,赋欣【FR500T】AMD 9950X深度学习/OpenClaw主机/建模渲染设计工作站台式主机 支持RTX5090/4090等显卡,12999.00,赋欣服务器京东自营旗舰店,AMD 锐龙9 9950X ,0,jfs/t1/409366/30/10464/125959/69c62784Fb96b00f8/0083320320ab40ed.jpg,1030968284,深度学习;上门部署;AI深度学习;ECC,100253067077,,100253067077
RTX 5090 自营,机械革命【国家补贴】苍龙16 Ultra 旗舰游戏笔记本电脑(R9-9955HX3D 64G 2T RTX5090 MiniLED),27999.00,机械革命京东自营旗舰店,RTX5090,5000+,jfs/t1/420796/1/9616/164837/69e5a1e0F7c6db1bc/0083320320079ec1.jpg,1000000948,满功耗5090;MiniLED;旗舰机皇配水冷;高能效比,100189648192,1万+,100189648192
RTX 5090 自营,技嘉（GIGABYTE）5090 D v2显卡 魔鹰 GeForce RTX 5090 D v2 Gaming 24G DLSS4电竞游戏设计AI 【注册四年保】 ,19999.00,技嘉京东自营旗舰店,【5090 D v2 魔鹰-24G】经典高规,2000+,jfs/t1/420078/31/21687/153121/69eb281aFb79c4904/0083320320a68d10.jpg,1000000297,风之力散热系统;服务器级导热凝;电竞设计;三风扇散热,100200595121,6000+,100200595121
RTX 5090 自营,微星（MSI）泰坦17 AI 2025 国家补贴 17英寸游戏本笔记本电脑(Ultra9-275HX RTX5090 32G 2TB 2.5K/240Hz),26499.00,微星游戏本京东自营旗舰店,泰坦17 AI 2025,1万+,jfs/t1/424489/38/16351/231933/69f2b501F98d79dd5/00833e83e8874f98.jpg,1000000653,2TB存储;AI算力强;双烤250W;RTX5090,100194076246,1万+,100194076246
RTX 5090 自营,宽科GeForce RTX 5090 32G显卡深度学习模型推理游戏AI高性能DIY台式机显卡 华硕RTX5090 32G TUF,34998.00,宽科服务器京东自营旗舰店,RTX5090 32G 游戏卡 华硕,10,jfs/t1/414186/28/14739/43521/69d62242Ff67d7e25/0083320320320999.jpg,1000482280,高性能;5千+人浏览;500+人加购,100253578239,,100253578239
RTX 5090 自营,影驰GeForce RTX 5090 D v2 星曜 LUNA OC 24G GDDR7 DLSS 4.5游戏设计OpenClaw部署NVIDIA英伟达显卡,19499.00,影驰京东自营旗舰店,【5090DV2星曜LUNA OC】性能高规,1000+,jfs/t1/427350/38/3527/109597/69ef1dc3F03aa247a/0083320320d8608c.jpg,1000000308,DLSS 4;强劲性能;ARGB灯效;镜面背板,100264853668,1000+,100264853668
RTX 5090 自营,电竞叛客GeForce RTX 5090 D V2 X3W OC 24GB GDDR7 DLSS 4 电竞光追游戏设计电脑显卡,19399.00,京东免税会员购自营专区,,17,jfs/t1/399557/19/17182/230175/69af8a2fF5c0e9183/00835a05a009dcdc.jpg,1000651007,ARGB灯效;多接口设计;GDDR7;高显存容量,100229535495,,100229535495
RTX 5090 自营,微星（MSI）万图师 GeForce RTX 5090 D v2 24G VENTUS 3X AI推理 电竞游戏设计智能学习独立显卡,19999.00,微星京东自营旗舰店,【5090 D V2-万图师-24G】,500+,jfs/t1/368850/7/6628/119078/69291786F0d237c7a/f23f2ab3fe518a70.jpg,1000000266,三风扇;5090DV2;HDMI接口;24G大显存;三风扇散热;DP接口,100315006246,900+,100315006246
RTX 5090 自营,宽科GeForce RTX 5090 32G显卡深度学习模型推理游戏AI高性能DIY台式机显卡 索泰RTX5090 32G SOLID,34198.00,宽科服务器京东自营旗舰店,RTX5090 32G 游戏卡 索泰,10,jfs/t1/415742/33/21316/49505/69e40a63F622e2b82/065c320320c6ce31.jpg,1000482280,100+人加购;2千+人浏览;高性能,100253578271,,100253578271
RTX 5090 自营,雷神ZERO18Pro 18英寸游戏笔记本电脑（英特尔酷睿U9HX RTX5090 64G2T）国家政府补贴支持龙虾openclaw,26999.00,雷神京东自营旗舰店,RTX5090,2000+,jfs/t20280408/413656/22/18298/194039/69d7821dFafced1ef/0a0232032030d722.jpg,1000000635,AI加速;270W双烤;1W+买手力推;高效能处理,100197379222,,100197379222
RTX 5090 自营,机械革命耀世16 Ultra 2026 旗舰游戏笔记本 (英特尔酷睿Ultra 9 290HX Plus 32G 2T RTX5090 2.5K 灰),28999.00,机械革命京东自营旗舰店,RTX5090,2万+,jfs/t1/428051/30/7580/89604/69f2ecbeF426e1f63/0083320320d111b5.jpg,1000000948,满功耗5090;支持外接水冷;32GB+2TB,100335414678,,100335414678
RTX 5090 自营,影驰名人堂 GeForce  RTX 5090 D v2 HOF OC LAB Plus-X 24G GDDR7 DLSS 4.5游戏设计OpenClaw部署显卡,20999.00,影驰京东自营旗舰店,【5090Dv2名人堂Plus】纯白旗舰,1000+,jfs/t1/427311/1/3817/101866/69ef2055F0f6b2b78/0083320320281193.jpg,1000000308,均热板;超规模供电;游戏设计利器;AI计算强劲,100201234213,1000+,100201234213
RTX 5090 自营,深度学习 /AIGC模型推理工作站+支持定制,30599.00,宽科服务器京东自营旗舰店,I9-14900K/KF,100+,jfs/t1/392388/40/5250/66577/697813e8Ffeaaacab/0083320320a42cf6.jpg,1000482280,1万+人浏览;京东自营;定制咨询,100196283464,100+,100196283464
RTX 5090 自营,映众（Inno3D）锐擎759 R7 9850X3D/RTX5090/48G/1TB固态台式电脑游戏台式机电脑主机全套整机,30999.00,映众（Inno3D）组装电脑京东自营旗舰店,R7 9850X3D+RTX5090+48G+1TB,500+,jfs/t1/409030/40/1820/149550/69c244b9Fd6766296/008332032074f450.jpg,1000627043,24G卡皇;大容量存储;送5把风扇;流畅游戏体验;快速数据传输;高性能显卡;大内存容量;超大存储空间,100328805492,1000+,100328805492
RTX 5090 自营,ROG枪神9 超竞版 酷睿U9 16英寸 星云屏游戏本笔记本电脑(U9 275HX 32G 1T RTX5090 2.5K MiniLED),31999.00,玩家国度ROG京东自营旗舰店,U9 275HX RTX5090,1000+,jfs/t1/424574/13/292/202138/69e6dd37Ff1b189e7/00833203203104b4.jpg,1000107961,大内存容;RTX5090;高刷新率;星云屏幕,100141935165,2000+,100141935165
RTX 5090 自营,影驰GeForce RTX 5090 D v2 星曜 NOX OC 24G GDDR7 DLSS 4.5游戏设计OpenClaw部署NVIDIA英伟达显卡,19499.00,影驰京东自营旗舰店,【5090Dv2星曜NOX OC】潮玩高规,1000+,jfs/t1/427078/30/3206/106049/69ef1dc2Fa91873f4/0083320320d185e8.jpg,1000000308,DLSS 4;ARGB灯效;可拆卸磁吸上盖;三风扇散热,100264853686,1000+,100264853686
RTX 5090 自营,雷神（ThundeRobot）MIX-G二代高性能迷你独显游戏设计电竞AI电脑mini主机(Ultra 9 275HX RTX5090 64G 1T  )openclaw,28999.00,雷神京东自营旗舰店,【二代】U9-275HX+RTX5090+64G,5000+,jfs/t20280429/424998/17/14589/132619/69f309eeFb83b1df5/0a02320320cde86c.jpg,1000000635,高性能迷你;电竞AI电脑;64G大内存;WiFi6E,100220943715,8000+,100220943715
RTX 5090 自营,微星（MSI）泰坦16 AI 2025 国家补贴 16英寸游戏本笔记本电脑(Ultra9-275HX 满血RTX5090 16G 1TB 2.5K240Hz),23499.00,微星游戏本京东自营旗舰店,泰坦16 AI 2025,1万+,jfs/t1/413141/35/3223/260291/69cc9192Fe91ad871/00833e83e8d63189.jpg,1000000653,AI算力强;2.5K高分辨;雷电接口;双烤240W,100226957210,1万+,100226957210
RTX 5060 Ti 自营,华硕天选6X 台式机游戏主机游戏电竞 国家补贴(酷睿i7-13620H RTX5060Ti-8GB显卡 16G DDR5 1TB SSD),8999.00,华硕京东自营官方旗舰店,i7-13620H 5060Ti-8GB 16G 1TB,1万+,jfs/t1/421515/23/482/178058/69df380bFb924de3b/008332032055b42b.jpg,1000000182,6万+店铺粉丝浏览;2千+人收藏;侧透机箱,100183735471,1万+,100183735471
RTX 5060 Ti 自营,影驰GeForce RTX 5060 Ti 魔刃 OC 8GB GDDR7 DLSS 4.5 电竞游戏设计剪辑直播办公NVIDIA英伟达显卡,3358.00,影驰京东自营旗舰店,【5060 Ti 8G 魔刃】电竞利器,2万+,jfs/t1/423288/2/12056/100416/69ef1e12F82ad743b/0083320320f30268.jpg,1000000308,光追游戏;三风扇散热;磁吸灯牌;金属背板,100205226852,2万+,100205226852
RTX 5060 Ti 自营,七彩虹（Colorful）战斧 GeForce RTX 5060 Ti 豪华版 8GB GDDR7 DLSS 4.5 电竞光追游戏设计电脑显卡,3299.00,七彩虹京东自营旗舰店,【5060 Ti】 战斧豪华 8G,2万+,jfs/t1/377760/3/9754/99456/693b8b0aF59ccb75f/e3eee77935b9b398.jpg,1000000267,DLSS 4;RGB灯效;金属背板;三风扇散热,100205480438,3万+,100205480438
RTX 5060 Ti 自营,映众（Inno3D）GeForce RTX 5060 Ti X3 OC 8GB 曜夜 DLSS 4台式机电脑游戏显卡 AI设计渲染电竞显卡,3349.00,京东免税会员购自营专区,,17,jfs/t1/407829/31/18071/61139/69c5f898F3467acc7/00833203209a1b89.jpg,1000651007,个人送保;支持DLSS4;AI设计;HDMI支持;DP接口;8GB显存;三风扇散热,100303467420,,100303467420
RTX 5060 Ti 自营,攀升战神2 台式电脑三角洲游戏台式机电脑主机全套整机（14代酷睿i7 RTX5060ti 16G 1TB）,7399.00,攀升京东自营旗舰店,14代酷睿i7 RTX5060ti 16G 1TB,1万+,jfs/t1/416545/8/15028/109037/69ddeb12Fefce220f/0083320320c07433.jpg,1000095343,超100万人关注店铺;近7日人气商品,100146091078,1万+,100146091078
RTX 5060 Ti 自营,影驰GeForce RTX 5060 Ti 圣刃 OC 8GB GDDR7 DLSS 4.5 电竞游戏设计剪辑直播办公NVIDIA英伟达显卡,3358.00,影驰京东自营旗舰店,【5060 Ti 8G 圣刃】主流搭档,2万+,jfs/t1/425649/30/7101/87563/69ef1e10F4e967222/0083320320c63b34.jpg,1000000308,RGB灯效;磁吸灯板;光追游戏;电竞级别,100160593347,2万+,100160593347
RTX 5060 Ti 自营,盈通（yeston） RTX 5060 Ti 8G GDDR7 游戏高手OC PA 电竞光追游戏AI智能学习电脑独立显卡,3049.00,盈通京东自营旗舰店,【RTX 5060 Ti 8G】游戏高手OC,1000+,jfs/t1/374774/33/5151/90984/6938ebb0F9287fd0b/12b54fa0fdacb2fc.jpg,1000005645,光追游戏;AI智能;电竞级别;DLSS 4,100231145808,1000+,100231145808
RTX 5060 Ti 自营,七彩虹（Colorful）战斧 GeForce RTX 5060 Ti 豪华版 16GB GDDR7 DLSS 4.5 电竞光追游戏设计电脑显卡,4399.00,七彩虹京东自营旗舰店,【5060 Ti】 战斧豪华 16G,2万+,jfs/t1/333861/11/26378/87094/68fb2ab7F4363383b/d63bc649b2254fbc.jpg,1000000267,DLSS 4;光追游戏;利斧散热器;金属背板,100160762603,3万+,100160762603
RTX 5060 Ti 自营,攀升&华硕i5 14400F/RTX5060Ti/16G/1T电竞游戏吃鸡三角洲直播itxmini设计台式组装电脑迷你主机整机,7999.00,组装电脑京东自营专区,单主机,500+,jfs/t1/419841/35/765/932036/69db4e19F79f82325/093b320320385630.png,1000482845,大容量高速存储;8千+人浏览;14400F;5060Ti,100326869270,700+,100326869270
RTX 5060 Ti 自营,影驰GeForce RTX 5060 Ti 圣刃 MAX OC 16GB GDDR7 DLSS 4.5 游戏设计OpenClaw部署NVIDIA英伟达显卡,4299.00,影驰京东自营旗舰店,【5060 Ti 16G 圣刃】主流搭档,2万+,jfs/t1/425950/15/3355/88281/69ef1e11F4e56b2d2/0083320320df0603.jpg,1000000308,16GB大显存;附赠支架;8PIN供电;散热强劲;HDMI接口;PCIe 5.0;DLSS 4;16GB大容量;GDDR7;光追游戏,100205226832,2万+,100205226832
RTX 5060 Ti 自营,技嘉 魔鹰OC 5060 Ti 8G 显卡,3699.00,技嘉京东自营旗舰店,【5060Ti魔鹰-8G 】经典高规,5000+,jfs/t1/420660/28/19415/155158/69eb2829Ff7f35b4f/0083320320bac601.jpg,1000000297,散热高效;DLSS4;散热风扇;风之力散热系统,100211023968,1万+,100211023968
RTX 5060 Ti 自营,微星（MSI）魔龙 GeForce RTX 5060 Ti 8G GAMING TRIO OC AI推理 电竞游戏设计智能学习独立显卡,3499.00,微星京东自营旗舰店,【5060Ti-魔龙-8G】经典旗舰,5000+,jfs/t1/429488/21/479/124221/69f1b0f4F050a06b6/0083320320688806.jpg,1000000266,接口丰富多;散热风扇优;电竞级别;RGB灯效美,100211565340,6000+,100211565340
RTX 5060 Ti 自营,胖虫&微星 i5 14600KF/RTX5060TI/16G/1TB 畅玩三角洲吃鸡电竞游戏主机 直播设计AI渲染组装电脑,9860.00,胖虫京东自营旗舰店,i5 14600KF/RTX5060Ti/16G/1T,77,jfs/t1/425300/33/2596/147021/69e9df1aF084229ab/008332032093ea9a.jpg,1000651190,1千+人加购;4千+人浏览,100342450720,100+,100342450720
RTX 5060 Ti 自营,影驰GeForce RTX 5060 Ti 金属大师 黑金版 OC 8G GDDR7 DLSS 4.5 游戏设计剪辑直播NVIDIA英伟达显卡,3419.00,影驰京东自营旗舰店,【5060 Ti 8G 黑金】黑金散热,2万+,jfs/t1/422091/17/22323/88845/69ef1de0F3ad41218/0083320320af8022.jpg,1000000308,光追技术;散热风扇;金属背板;附赠支架,100205226854,2万+,100205226854
RTX 5060 Ti 自营,游戏侠星梦系列I5-14600KF/RTX5060TI台式电脑游戏台式机电脑主机(14600KF+32G+1TB SSD+RTX5060TI-8G),9146.00,游戏侠电脑京东自营旗舰店,,10,jfs/t1/419805/11/17478/691528/69e58558Ff5cacec7/0083320320a6bcca.png,1020200616,三年质保硬件上门;I5-14600;32G/1TB,100255726679,,100255726679
RTX 5060 Ti 自营,华硕（ASUS）TUF GeForce RTX 5060 Ti O16G GAMING 电竞游戏显卡,4799.00,华硕京东自营旗舰店,【TUF 5060Ti O16G】,1万+,jfs/t1/337976/17/22651/105074/68f869b6F6012936c/7e3585b5d816a0f0.jpg,1000000225,三风扇;16G大显存;三风扇散热;高效散热;高清输出;HDMI接口;128bit位宽;DP接口;16GB大显存;16GB大容量,100205506088,2万+,100205506088
RTX 5060 Ti 自营,华硕天选6X 台式机游戏主机游戏电竞 国家补贴(酷睿i7-13620H RTX5060Ti-8GB显卡 32G DDR5 1TB SSD),9999.00,华硕京东自营官方旗舰店,i7-13620H 5060Ti-8GB 32G 1TB,1万+,jfs/t1/320178/36/14768/122599/686c948cFe3fb6fe7/994130eac989d21c.jpg,1000000182,600+人已买;超90万人店内购买,100239921260,1万+,100239921260
RTX 5060 Ti 自营,电竞叛客GeForce RTX 5060 Ti  X2W  8GB GDDR7 DLSS 4 电竞光追游戏设计电脑显卡,3399.00,京东免税会员购自营专区,RTX 5060 Ti  X2W,200+,jfs/t1/396655/13/19238/225499/69a94e4cFb6bf1078/00835a05a08a7e60.jpg,1000651007,HDMI接口;散热风扇;电竞专用;光追游戏,100306166948,400+,100306166948
RTX 5060 Ti 自营,铭瑄（MAXSUN）GeForce RTX5060Ti iCraft Classic OC8G 电竞之心经典版 DLSS 4 光追游戏AI设计电脑显卡,3199.00,铭瑄京东自营旗舰店,【RTX5060Ti-8G】电竞之心经典OC,1000+,jfs/t1/394483/17/17739/118176/69a00ce6Ffec95b0b/00833203201500b8.jpg,1000094211,光追游戏;RGB灯效;散热风扇;AI设计,100313000200,2000+,100313000200
RTX 5060 Ti 自营,技嘉（GIGABYTE）5060Ti 8G显卡 风魔MAX OC GeForce RTX 5060 Ti WindForce MAX OC SFF 8G DLSS4 游戏电竞显卡,3499.00,技嘉京东自营旗舰店,【5060Ti风魔MAX-8G 】SFF ready,5000+,jfs/t1/425762/11/3684/155081/69eb2827Fe52f86d7/00833203208bb501.jpg,1000000297,升级散热;5060ti;加固结构;DLSS加速;风冷散热;多接口设计;游戏利器;DLSS技术,100192797101,1万+,100192797101
RTX 5060 Ti 自营,攀升&华硕i5 14600KF/RTX5060Ti/16G/1T电竞游戏三角洲吃鸡直播AI创作itxmini台式组装电脑迷你主机,8499.00,组装电脑京东自营专区,单主机,500+,jfs/t1/415420/20/17990/927096/69db4e10F0f658bf6/093b32032015bcb6.png,1000482845,实时光线追踪;实时光追高帧率;1万+人浏览,100244964395,700+,100244964395
RTX 5060 Ti 自营,影驰GeForce RTX 5060 Ti 金属大师 白金版 OC 8G GDDR7 DLSS 4.5 游戏设计剪辑直播NVIDIA英伟达显卡,3419.00,影驰京东自营旗舰店,【5060 Ti 8G 白金】纯白装甲,2万+,jfs/t1/426424/27/6047/92405/69ef1de1F5ffb6ae5/008332032076e211.jpg,1000000308,128bit宽;金属背板;光追游戏;DLSS 4,100205226834,2万+,100205226834
RTX 5060 Ti 自营,七彩虹 5060Ti U W OC 8G 显卡,3399.00,七彩虹京东自营旗舰店,【5060 Ti】Ultra W OC 8G,2万+,jfs/t1/329894/25/26657/113552/68fb3197F11a9f4e3/7ccc9d14954d9c85.jpg,1000000267,多接口设计;散热高效;光追游戏;DLSS 4,100205480448,3万+,100205480448
RTX 5060 Ti 自营,技嘉（GIGABYTE）5060Ti 8G显卡 风魔 GeForce RTX 5060 Ti WindForce SFF DLSS4游戏设计OpenClaw龙虾本地部署显卡,3479.00,技嘉京东自营旗舰店,【5060Ti风魔-8G 】SFF ready,5000+,jfs/t1/424149/4/7480/152404/69eb2826F0d818541/00833203208e82fb.jpg,1000000297,加固结构;抗扰流风扇;风魔散热;游戏电竞,100164458239,1万+,100164458239
RTX 5060 Ti 自营,技嘉（GIGABYTE）魔鹰 5060Ti 16G Gaming OC 16G 显卡 + 650W圣战金牌电源套装 ,5168.00,技嘉京东自营旗舰店,【650W电源套装】5060Ti 16G魔鹰,1万+,jfs/t1/355045/31/7090/101251/69119156F673e2417/e0eb94a152723cf4.jpg,1000000297,店铺被10万人种草;7万+人浏览;6千+人加购,100211605302,2万+,100211605302
RTX 5060 Ti 自营,游戏侠赛博星舰 台式电脑游戏主机游戏电竞 AI（AMD-R7 9700X RTX5060Ti-8GB显卡 16G 1TB SSD）,9146.00,游戏侠电脑京东自营旗舰店,,6,jfs/t1/422261/25/6420/661457/69e58587F4e790461/00833203208ab96f.png,1020200616,金属机身;16G/1TB;R7-9700X,100255719841,,100255719841
RTX 5060 Ti 自营,影驰GeForce RTX 5060 Ti 金属大师 黑 OC 16G GDDR7 DLSS 4.5 游戏设计OpenClaw部署NVIDIA英伟达显卡,4469.00,影驰京东自营旗舰店,【5060 Ti 16G 黑金】黑金散热,2万+,jfs/t1/426866/36/4952/90001/69ef1de0F1a872a87/0083320320ee9c4c.jpg,1000000308,光追游戏;三风扇散热;全金属设计;128bit位宽,100160593351,2万+,100160593351
RTX 5060 Ti 自营,七彩虹（Colorful）战斧 GeForce RTX 5060 Ti DUO 16GB GDDR7 DLSS 4.5 电竞光追游戏设计电脑显卡,4299.00,七彩虹京东自营旗舰店,【5060 Ti】 战斧 DUO 16G,2万+,jfs/t1/350957/28/16916/95198/68fb2b10Ffecc0d09/2c6f93461cd07abe.jpg,1000000267,战斧RGB;豪华热管;金属背板;DLSS 4;GDDR7;电竞设计;16GB显存;炫酷灯效;散热风扇;光追游戏,100160762607,3万+,100160762607
RTX 5060 Ti 自营,LANG HIAM技嘉 i5 14400F/RTX5060Ti显卡/16G/1T畅玩三角洲行动游戏吃鸡设计直播AI mini 台式组装电脑整机,8634.00,组装电脑京东自营专区,,3,jfs/t1/424800/11/13726/174222/69f04850Fd457153e/0083320320be697b.jpg,1000482845,三年上门/质保;养龙虾主机;桌面miniPC,100254155259,,100254155259
RTX 5060 Ti 自营,慧川14代酷睿i5 14400F/映众RTX5060Ti/16G/1T/WiF6畅玩三角洲电竞游戏主机台式电脑整机台式机,8163.00,慧川京东自营旗舰店,14400F/RTX5060Ti/16G/1T,100+,jfs/t1/428217/9/1322/405824/69ef2626F1b4e4dd2/00835a05a0931a8c.jpg,1000619799,,100254215453,100+,100254215453
RTX 5060 自营,华硕（ASUS）天选6Pro 酷睿版 16英寸游戏本 笔记本电脑(i7-14650HX 16G 1T RTX5060 灰色 WPS版1号店专供）,9889.00,1号会员店,天选6pro I7/16/1T/5060灰 WPS版,1000+,jfs/t1/426135/37/9594/192194/69f03338Ff2bc43fd/00833203202305e9.jpg,1000343263,3千+店铺粉丝浏览;店铺被1000万人种草,100249861073,2000+,100249861073
RTX 5060 自营,影驰GeForce RTX 5060 魔刃V2 OC DLSS 4.5 电竞游戏设计剪辑直播办公娱乐NVIDIA英伟达显卡,2898.00,影驰京东自营旗舰店,【5060 魔刃V2 OC】游戏利器,2万+,jfs/t1/428189/40/1308/88953/69ef1e10Ff81b30bf/008332032051a49c.jpg,1000000308,电竞游戏;三风扇设计;设计剪辑;金属背板,100261876706,2万+,100261876706
RTX 5060 自营,电竞叛客 Geforce RTX 5060 X2W 8GB DLSS 4 电竞光追游戏AI设计电脑显卡,2849.00,京东免税会员购自营专区,,36,jfs/t1/401245/21/3798/203010/69a94ec9F0b905be0/00835a05a088f606.jpg,1000651007,金属背板;自营全新正品;智能启停;8GB大显存;AI设计加速;光追游戏;双风扇散热;高效能显卡,100306260120,,100306260120
RTX 5060 自营,七彩虹（Colorful）战斧 GeForce RTX 5060 豪华版 8GB  GDDR7 DLSS 4 电竞光追游戏设计电脑显卡,2969.00,七彩虹京东自营旗舰店,【5060】战斧豪华版 8G,2万+,jfs/t1/396829/1/14831/118249/69a649b7F088e4333/008332032017fb00.jpg,1000000267,光追游戏;豪华灯效;DLSS 4;三风扇散热,100172853661,3万+,100172853661
RTX 5060 自营,华硕（ASUS）天选6 Pro 酷睿版 16英寸游戏本 笔记本电脑(i7-14650HX 16G 1T RTX5060+1号店鼠标套装)灰,9699.00,1号会员店,天选6pro I7-14650/16/1T/5060灰,1000+,jfs/t1/419002/38/15822/133421/69e3fc79F8494795f/065c3203200e1bf1.jpg,1000343263,2千+店铺粉丝浏览;店铺被1000万人种草,100245095115,2000+,100245095115
RTX 5060 自营,影驰GeForce RTX 5060 圣刃V2 OC DLSS 4.5 电竞游戏设计剪辑直播办公娱乐NVIDIA英伟达显卡,2898.00,影驰京东自营旗舰店,【5060 圣刃V2 OC】主流搭档,2万+,jfs/t1/425070/12/11346/87250/69ef1e0fF3c4a7e4a/0083320320607926.jpg,1000000308,DLSS 4.5;磁吸灯板;三风扇设计;AI本地部署;8GB显存;HDMI输出;设计剪辑专家;电竞游戏利器;三风扇散热,100198367807,2万+,100198367807
RTX 5060 自营,映众（Inno3D）GeForce RTX 5060 Ti X3 OC 8GB 曜夜 DLSS 4台式机电脑游戏显卡 AI设计渲染电竞显卡,3349.00,京东免税会员购自营专区,,17,jfs/t1/407829/31/18071/61139/69c5f898F3467acc7/00833203209a1b89.jpg,1000651007,个人送保;支持DLSS4;AI设计;HDMI支持;DP接口;8GB显存;三风扇散热,100303467420,,100303467420
