搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
英特尔酷睿Ultra 9 CPU 自营,技嘉主板CPU套装小雕Z890 AORUS ELITE WIFI7+英特尔酷睿 Ultra 9 285K盒装CPU处理器,6638.00,技嘉京东自营旗舰店,技嘉Z890小雕WIFI+285K,5000+,jfs/t1/381029/34/18651/156682/695f474aFf89ee0dc/9267f80b692d6e02.jpg,1000000297,WiFi7加持;WiFi7支持;高端主板;英特尔酷睿;ATX标准,100183725975,9000+,100183725975
英特尔酷睿Ultra 9 CPU 自营,铭瑄MS-eSport Z890M WIFI  电脑主板+英特尔Ultra U9-285K 酷睿处理器主板CPU套装,5649.00,铭瑄京东自营旗舰店,Ultra i9-285K,42,jfs/t1/238815/36/19074/128530/670e1bd9Feedcf90a/19ea16fe6e226494.jpg,1000094211,紧凑设计;强劲处理,100122124357,100+,100122124357
英特尔酷睿Ultra 9 CPU 自营,铭瑄MS-Challenger Z890M WIFI I 电脑主板+英特尔Ultra U9-285K 酷睿处理器主板CPU套装,5599.00,铭瑄京东自营旗舰店,Ultra i9-285K,32,jfs/t1/248152/32/21012/116590/670e2799F08430080/6fb6f621355e4961.jpg,1000094211,超强性能;全新接口;WiFi高速;紧凑设计;智控设计;稳定传输;智能优化;多功能扩展;高清输出;高效散热,100122124395,200+,100122124395
英特尔酷睿Ultra 9 CPU 自营,铭瑄MS-iCraft Z890 Pacific 电脑主板+英特尔Ultra U9-285K 酷睿处理器主板CPU套装,6649.00,铭瑄京东自营旗舰店,铭瑄Z890Pacific+285K,5000+,jfs/t1/104912/14/54380/125513/670de38dF58c23c30/742bc6faf0a3f848.jpg,1000094211,超频能力;兼容性强;超强性能;智能管理;标准ATX;高效能耗;快速响应;多屏支持;稳定运行;高频运算,100147501310,9000+,100147501310
英特尔酷睿Ultra 9 CPU 自营,铭瑄MS-Challenger Z890M WIFI ICE 电脑主板+英特尔Ultra U9-285K 酷睿处理器主板CPU套装,5599.00,铭瑄京东自营旗舰店,Ultra i9-285K,36,jfs/t1/220695/8/44059/135230/670e25acF839a12d1/103451cd79320b9a.jpg,1000094211,智能搭配;高频处理;极致散热;WIFI连接;高效能耗;畅快体验;极速运算;稳定输出;强劲性能;超频潜力,100147500712,100+,100147500712
英特尔酷睿Ultra 9 CPU 自营,铭瑄MS-终结者 Z890-A WiFi电脑主板+英特尔Ultra U9-285K 酷睿处理器主板CPU套装,5749.00,铭瑄京东自营旗舰店,,7,jfs/t1/268370/35/21368/130489/67b52ef3F6b90c4a1/f69a014b165a711e.jpg,1000094211,超强性能;无缝连接;WiFi畅连;高性能主板;标准ATX;优质配置;速计算;支持WiFi;稳定运行;致体验,100122124743,,100122124743
英特尔酷睿Ultra 9 CPU 自营,铭瑄MS-iCraft Z890 Arctic 电脑主板+英特尔Ultra U9-285K 酷睿处理器主板CPU套装,6649.00,铭瑄京东自营旗舰店,铭瑄Z890Arctic+285K,5000+,jfs/t1/239213/40/18929/136048/670e1573F9c51dd10/3cbd9d9ad7e53b47.jpg,1000094211,,100147501348,9000+,100147501348
英特尔酷睿Ultra 9 CPU 自营,技嘉主板CPU套装冰雕Z890 AORUS ELITE WIFI7 ICE+英特尔酷睿 Ultra 9 285K盒装CPU处理器,6638.00,技嘉京东自营旗舰店,285K,15,jfs/t1/298951/15/17403/169628/68551f79Fd528a4b5/baeee55b19eabe9d.jpg,1000000297,高端配置;强劲处理,100239907084,,100239907084
英特尔酷睿Ultra 9 CPU 自营,微星MEG Z890 ACE+英特尔（Intel）Ultra U9-285K 酷睿-主板CPU套装,9349.00,微星京东自营旗舰店,285K,500+,jfs/t1/308768/30/9018/97542/684ba097Fdc0189dc/4f1c3388fb7378ee.jpg,1000000266,主板三年质保;官方自营;套装更优惠;优越图形表现;高性能主板;标准ATX;智能超频技术;高效能配置;超强兼容性;简易安装方案,100123421309,1000+,100123421309
英特尔酷睿Ultra 9 CPU 自营,铭瑄MS-终结者 Z890-A电脑主板+英特尔Ultra U9-285K 酷睿处理器主板CPU套装,5699.00,铭瑄京东自营旗舰店,Ultra 9-285K,100+,jfs/t1/5927/20/25966/126997/670ddd86F892b9052/5bacf5895b1284f8.jpg,1000094211,,100147501376,1000+,100147501376
英特尔酷睿Ultra 9 CPU 自营,技嘉主板CPU套装猎鹰WIFI7 Z890 EAGLE WIFI7+英特尔酷睿 Ultra 9 285K盒装CPU处理器,6399.00,技嘉京东自营旗舰店,285K,15,jfs/t1/314232/13/10835/174210/68551f77Fbee3a26b/0a98b80d4f947cd5.jpg,1000000297,ATX板型;WIFI7;Ultra 9;ATX标准;英特尔酷睿,100183725941,,100183725941
英特尔酷睿Ultra 9 CPU 自营,铭瑄MS-iCraft Z890 Pacific电脑主板+英特尔酷睿Ultra 9 285台式机处理器主板CPU套装,6299.00,铭瑄京东自营旗舰店,Ultra 9-2585,1,jfs/t1/288241/18/18136/114374/6879b68cFf13af9b7/e1927f6112dd0f04.jpg,1000094211,标准ATX;英特尔芯;ATX标准,100195839715,,100195839715
英特尔酷睿Ultra 5 CPU 自营,微星（MSI）PRO B860M-E主板+英特尔酷睿 Ultra 5 230F CPU板U套装,1749.00,微星电竞主机京东自营旗舰店,U5 230F+PRO【B860-E】,1000+,jfs/t1/406721/18/2078/109859/69bd1cb2Faa6fde98/00833203201836ce.jpg,1000472523,超100万人关注店铺;英特尔;1千+人加购,100292401928,1000+,100292401928
英特尔酷睿Ultra 5 CPU 自营,英特尔（Intel）酷睿 Ultra 5处理器245K CPU 盒装 台式机 14核14线程 睿频至高可达5.2Ghz 畅玩三角洲行动,1399.00,英特尔京东自营旗舰店,U5 245K盒装CPU,2000+,jfs/t1/425018/21/15280/88531/69f19decF38936242/0083320320f4fa82.png,1000000693,多线程支持;流畅游戏;高效能核芯;24MB缓存,100145512964,1万+,100145512964
英特尔酷睿Ultra 5 CPU 自营,英特尔（Intel）酷睿 Ultra 5 处理器 250K Plus 台式机 18核18线程 盒装CPU 畅玩三角洲行动/无畏契约,1699.00,英特尔京东自营旗舰店,Ultra 5 250K Plus,200+,jfs/t1/429412/22/691/415983/69f19de9F52e8926f/00833203209495a1.png,1000000693,内置核显;全新二进制技术;多核多线程;频率至高;高频性能;核显支持;游戏畅快;多核处理;解锁潜能,100244553065,900+,100244553065
英特尔酷睿Ultra 5 CPU 自营,英特尔（Intel）酷睿 Ultra 5处理器245KF CPU 盒装 台式机 14核14线程 睿频至高可达5.2Ghz 畅玩三角洲行动,1319.00,英特尔京东自营旗舰店,Ultra5 245KF盒装CPU,1000+,jfs/t1/428764/12/2644/85000/69f19debF08fff7ad/0083320320698d37.png,1000000693,24MB缓存;家用办公优选;3D混合架构;14核高效;多核性能;超强处理;酷睿Ultra;超频解锁版;流畅体验;高速运算,100120799081,2000+,100120799081
英特尔酷睿Ultra 5 CPU 自营,英特尔（Intel）酷睿 Ultra 5 处理器 250KF Plus 台式机 18核18线程 盒装CPU 畅玩三角洲行动/无畏契约,1649.00,英特尔京东自营旗舰店,Ultra 5 250KF Plus,80,jfs/t1/411908/4/956/103519/69c85fdfFc6bf68d5/065c32032033def5.jpg,1000000693,节能稳定静音;5千+人加购;800+人收藏,100326334114,100+,100326334114
英特尔酷睿Ultra 5 CPU 自营,英特尔（Intel）酷睿 Ultra 5处理器230F CPU 盒装 台式机 10核10线程 睿频至高可达5.0Ghz 畅玩三角洲行动,949.00,英特尔京东自营旗舰店,U5 230F盒装CPU,1000+,jfs/t1/428525/11/4194/86272/69f19defF7b9252c3/008332032063c3cf.png,1000000693,3D混合架构;全新XPU加持;高频性能;多核处理,100165842566,1000+,100165842566
英特尔酷睿Ultra 5 CPU 自营,主板CPU套装超耐久B860M K+英特尔酷睿Ultra 5 225,1879.00,技嘉京东自营旗舰店,技嘉B860M K+225,1000+,jfs/t1/373878/27/6437/173312/69369793Ff8842c63/e0d0223d34edd55c.jpg,1000000297,注册质保;优质主板;超值套装;超耐久设计;英特尔酷睿,100228621869,3000+,100228621869
英特尔酷睿Ultra 5 CPU 自营,技嘉主板CPU套装小雕B860M AORUS ELITE WIFI6E+英特尔酷睿Ultra 5 235,2899.00,技嘉京东自营旗舰店,,2,jfs/t1/334773/15/12230/161772/68c3bf1fF6e5bc24b/46ce3156f238bf1f.jpg,1000000297,WiFi6E;紧凑设计;高效处理;四年质保;小巧主板;智能连接;套装优惠;主板注册;英特尔酷睿,100209078663,,100209078663
英特尔酷睿Ultra 5 CPU 自营,微星MPG Z890 CARBON WIFI+英特尔（Intel）Ultra U5-245KF 酷睿-主板CPU套装,4879.00,微星京东自营旗舰店,245KF,500+,jfs/t1/299434/34/19181/98394/68637977F347cbb93/5c48c4290c6f4de4.jpg,1000000266,主板三年质保 ;微星板U套装;套装购买更优惠;兼容性强;稳定流畅体验;节能环保;出色散热设计;超低延迟表现;高性能处理;高质主板,100149154026,1000+,100149154026
英特尔酷睿Ultra 5 CPU 自营,技嘉主板CPU套装超耐久H810M K+英特尔酷睿Ultra 5 225,1789.00,技嘉京东自营旗舰店,技嘉H810M K+225,1000+,jfs/t1/377449/7/5173/192404/69369791Fd438aabe/4dec83969cfedb66.jpg,1000000297,优惠组合;超耐久设计;注册质保;英特尔酷睿;超值套装,100305088892,3000+,100305088892
英特尔酷睿Ultra 5 CPU 自营,英特尔（Intel）酷睿 Ultra 5处理器225F CPU 盒装 台式机 10核10线程 睿频至高可达4.9Ghz 畅玩三角洲行动,899.00,英特尔京东自营旗舰店,Ultra5 225F盒装CPU,500+,jfs/t1/424860/39/7153/93076/69f19df1F0e7173ae/008332032041918a.png,1000000693,3D混合架构;高频畅玩;全新XPU加持;10核强劲,100167326682,1000+,100167326682
英特尔酷睿Ultra 5 CPU 自营,英特尔（Intel）酷睿 Ultra 5处理器225 CPU 盒装 台式机 10核10线程 睿频至高可达4.9Ghz 畅玩三角洲行动,1199.00,英特尔京东自营旗舰店,U5 225盒装CPU,1000+,jfs/t1/428599/33/4022/88261/69f19df2F04d413f9/008332032005f822.png,1000000693,节能静音;全新XPU加持;智能睿频;3D混合架构,100179712596,3000+,100179712596
英特尔酷睿Ultra 5 CPU 自营,七彩虹（Colorful） 主板CPU套装BATTLE-AX B860M-P WIFI V20+Intel Ultra 5 225F主板+CPU套装,1319.00,七彩虹京东自营旗舰店,七彩虹B860M-P WIFI+225F,500+,jfs/t1/322736/21/12279/163115/68ce6753F3a8d8b1e/68215135db8de447.jpg,1000000267,超40万人店内购买;600+店铺粉丝浏览,100209656385,1000+,100209656385
英特尔酷睿Ultra 5 CPU 自营,微星（MSI）主板CPU套装MAG B860M MORTAR WIFI+英特尔酷睿 Ultra 5 245K 板U套装,2519.00,微星京东自营旗舰店,微星B860M 迫击炮WIFI+245K,2000+,jfs/t1/308746/21/13674/111199/68637953Fba0b30bc/b525683b52737ab5.jpg,1000000266,主板三年质保;套装更优惠;无线连接;紧凑设计,100143388757,1万+,100143388757
英特尔酷睿Ultra 5 CPU 自营,英特尔（Intel）酷睿 Ultra 5处理器235 CPU 盒装 台式机 14核14线程 睿频至高可达5.0Ghz 畅玩三角洲行动,1699.00,英特尔京东自营旗舰店,14核14线程 Ultra 5 235,53,jfs/t1/425707/40/12734/85830/69f19deeF042436c0/0083320320a9188e.png,1000000693,自带原装风扇;支持核显;3D混合架构;游戏利器;超频至5.0G;高效能核芯;畅玩大作;14核14线程,100187932526,,100187932526
英特尔酷睿Ultra 5 CPU 自营,微星（MSI）主板CPU套装B860M MORTAR WIFI+英特尔酷睿 Ultra 5 230F 板U套装,2079.00,微星京东自营旗舰店,微星B860M 迫击炮 WIFI+230F,1000+,jfs/t1/321305/11/14160/68916/686e2ed8F853005dc/fd1bd64e105d72fc.jpg,1000000266,套装更优惠;主板三年质保;官方自营;稳定性能;紧凑便携;丰富接口;紧凑设计;高速传输,100146772167,1000+,100146772167
英特尔酷睿Ultra 5 CPU 自营,七彩虹（Colorful） 主板CPU套装CVN B860I GAMING FROZEN V20+Intel Ultra 5 230F CPU,1799.00,七彩虹京东自营旗舰店,七彩虹B860I登陆舰WIFI+230F,1000+,jfs/t1/401183/10/13091/176189/69b0dd23F4a1695a1/0083320320b0f2fd.jpg,1000000267,超70万人关注店铺;700+人加购;7千+人浏览,100192942309,1000+,100192942309
英特尔酷睿Ultra 5 CPU 自营,主板CPU套装超耐久H810M K+英特尔酷睿Ultra 5 225F,1439.00,技嘉京东自营旗舰店,技嘉H810M K+225F,500+,jfs/t1/373458/34/6830/192551/69369790F3ea27e88/096330c720f947e7.jpg,1000000297,注册质保;超值套装;超耐久设计;优惠组合;英特尔酷睿,100305088926,1000+,100305088926
英特尔酷睿Ultra 5 CPU 自营,微星MEG Z890 ACE+英特尔（Intel）Ultra U5-245K 酷睿-主板CPU套装,6079.00,微星京东自营旗舰店,245K,500+,jfs/t1/304506/2/14376/98078/68637974F6472bf5d/1f9633e10d1762be.jpg,1000000266,微星板U套装;套装购买更优惠;主板三年质保 ;智能控制;无缝连接;高频支持;散热优化;便捷安装;稳定运行;高质主板,100149442522,1000+,100149442522
英特尔酷睿Ultra 5 CPU 自营,铭瑄MS-终结者 Z890-A WiFi电脑主板+英特尔酷睿 Ultra 5 250K PLUS处理器主板CPU套装,2329.00,,终结者Z890-A WIFI+250K PLUS,200+,jfs/t1/405508/23/20840/123219/69c141bcFcff03484/00833203201cf2ed.jpg,0,WiFi集成;英特尔芯;超值套装;ATX标准,100251141369,900+,100251141369
英特尔酷睿Ultra 5 CPU 自营,七彩虹（Colorful） 主板CPU套装BATTLE-AX B860M-E WIFI V20+Intel Ultra 5 230F CPU,1449.00,七彩虹京东自营旗舰店,七彩虹B860M-E WIFI+230F,1000+,jfs/t1/349695/6/19186/155347/69008d76Fbe2497b4/381fe3c3bb1ba405.jpg,1000000267,超70万人关注店铺;3千+人加购,100254091462,1000+,100254091462
英特尔酷睿Ultra 5 CPU 自营,铭瑄MS-挑战者H810M-K WIFI电脑主板+英特尔酷睿Ultra 5 225F台式机处理器主板CPU套装,1270.00,铭瑄京东自营旗舰店,铭瑄H810M-K WF+225F,500+,jfs/t1/375470/36/8861/115948/6939151eFb42271f1/d612af6259ad1b9b.jpg,1000094211,,100306737170,1000+,100306737170
英特尔酷睿Ultra 5 CPU 自营,技嘉主板CPU套装冰雕B860M AORUS ELITE WIFI6E ICE+英特尔酷睿Ultra 5 235,2899.00,技嘉京东自营旗舰店,,0,jfs/t1/334454/15/12460/169584/68c3bf20F88099c26/421e01d64814f0ec.jpg,1000000297,WiFi6E;WiFi 6E;主板套装;高速网络;超值套装;冰雕设计;英特尔酷睿,100277937964,,100277937964
英特尔酷睿Ultra 5 CPU 自营,微星（MSI）主板CPU套装B860M MORTAR WIFI+英特尔酷睿 Ultra 5 225 板U套装,2349.00,微星京东自营旗舰店,微星B860M 迫击炮 WIFI+225,1000+,jfs/t1/301099/40/20781/72098/686e3026Ffbba12b7/83b7819a51970ca4.jpg,1000000266,主板三年质保;官方自营;套装更优惠;稳定性能;强劲性能,100146772193,3000+,100146772193
英特尔酷睿Ultra 5 CPU 自营,七彩虹（Colorful） 主板CPU套装BATTLE-AX B860M-WHITE WIFI V20+Intel Ultra 5 225F CPU,1699.00,七彩虹京东自营旗舰店,七彩虹B860M-WHITE冷钢WIFI+225F,500+,jfs/t1/395231/7/17534/150648/69a2a47cF1a6cf979/0083320320a51ef5.jpg,1000000267,超40万人店内购买;超70万人关注店铺,100253726386,1000+,100253726386
英特尔酷睿Ultra 5 CPU 自营,微星（MSI）主板CPU套装PRO Z890-S WIFI WHITE+英特尔酷睿 Ultra 5 245K 板U套装,2779.00,微星京东自营旗舰店,245K,500+,jfs/t1/298149/3/19895/140890/6863797eF2a3f9d81/1abbd9f17a11dce2.jpg,1000000266,微星板U套装;主板三年质保;套装购买更优惠;Ultra5板;标准ATX;白色外观;LGA1851;三年质保;WIFI集成;白色美学,100177660574,1000+,100177660574
英特尔酷睿Ultra 5 CPU 自营,铭瑄MS-eSport B860M GANK WIFI电脑主板+英特尔酷睿Ultra 5 230F台式机处理器主板CPU套装,1499.00,,铭瑄GANK B860M WIFI+230F,1000+,jfs/t1/375412/26/7342/123945/6938e286F14cedfdd/a7bf178e38196948.jpg,0,紧凑设计;稳定性能;多功能接口;无线连接;强劲处理,100306596528,1000+,100306596528
英特尔酷睿Ultra 5 CPU 自营,微星Z890 GAMING PLUS WIFI+英特尔（Intel）Ultra U5-245KF 酷睿-主板CPU套装,3029.00,微星京东自营旗舰店,,3,jfs/t1/289121/28/14193/95081/6863797fF1d969d83/d110d2e730834065.jpg,1000000266,主板三年质保;官方自营;套装更优惠;简易安装;出色散热;优质材料;高频率支持;高效能耗;WiFi集成;迅速升级,100149154054,,100149154054
英特尔酷睿Ultra 5 CPU 自营,七彩虹（Colorful）七彩虹主板CPU套装CVN Z890M GAMING FROZEN V20 战列舰+ Intel Ultra  5-245K,2269.00,七彩虹京东自营旗舰店,七彩虹Z890M 战列舰WIFI+245K,2000+,jfs/t1/398875/18/11983/156898/69aa8b55F40b4c477/0083320320bf5eaf.jpg,1000000267,2千+店铺粉丝浏览;4千+人加购;战列舰,100122124769,1万+,100122124769
英特尔酷睿Ultra 5 CPU 自营,微星（MSI）主板CPU套装B860M-B WIFI+英特尔酷睿 Ultra 5 245KF 板U套装,2129.00,,微星B860M-B WIFI+245KF,1000+,jfs/t1/374302/40/2865/90233/6932713fFc04abdea/4a63b212c58675b5.png,0,套装优惠;紧凑设计;稳定性能;高兼容性;三年质保;强劲处理;WiFi集成;英特尔芯;WIFI集成,100305088880,2000+,100305088880
英特尔酷睿i3 CPU 自营,英特尔(Intel) i3-13100 酷睿13代 处理器 4核8线程 睿频至高可达4.5Ghz 12M三级缓存 台式机CPU,1199.00,英特尔京东自营旗舰店,,5000+,jfs/t1/199016/30/42378/81011/6662b8b9Fdb9f1207/15e9f848ab8d1641.png,1000000693,4核8线程;12M三级缓存;高效能核显;高效办公,100049450167,7000+,100049450167
英特尔酷睿i3 CPU 自营,英特尔(Intel) i3-10105 10代 酷睿 处理器 4核8线程 单核睿频至高可达4.4Ghz 内置核显 盒装CPU,759.00,英特尔京东自营旗舰店,i3-10105,2万+,jfs/t1/72836/3/19911/300596/62bd53f1E6b379647/74e9dc4b91a5c639.jpg,1000000693,4核8线程;办公优选;内置核显;LGA1200,100018204776,3万+,100018204776
英特尔酷睿i3 CPU 自营,昂达（ONDA）CPU主板套装 B760ITX-B4 14-12代主板+英特尔(Intel) 13代 酷睿 i3-13100 板U套装,1569.00,,i3-13100,45,jfs/t1/310528/21/25538/119049/689d476bFe22beb1e/31cc909fa0c817bb.jpg,0,ITX主板;13100;套装,100086180790,,100086180790
英特尔酷睿i3 CPU 自营,昂达（ONDA）CPU主板套装 B760-VH4-B 14-12代主板+英特尔(Intel) 13代 酷睿 i3-13100 板U套装,1539.00,,i3-13100,85,jfs/t1/296013/39/24880/121311/68a418f0Fb3b6a5ed/073469e73af32fbf.jpg,0,B760主板;13100;套装,100081236653,100+,100081236653
英特尔酷睿i3 CPU 自营,昂达（ONDA）CPU主板套装 H610-VH4-W 14-12代主板+英特尔(Intel) 13代 酷睿 i3-13100 板U套装,1465.00,,i3-13100,67,jfs/t1/246123/28/29211/122739/68db7674Ffc323793/9dd9cdd093900311.jpg,0,13100;H610主板;套装,100081236773,100+,100081236773
英特尔酷睿i3 CPU 自营,铭瑄 MS-挑战者B760M主板+英特尔13代酷睿i3-13100处理器主板CPU套装,1669.00,铭瑄京东自营旗舰店,13100,0,jfs/t1/231076/25/12195/95773/659cb195Fa4da1bfe/27ddc0aa23b7de38.jpg,1000094211,性能强劲;扩展性强;高速互联,100080692059,,100080692059
英特尔酷睿i3 CPU 自营,铭瑄MS-挑战者B460M-D电脑主板+英特尔i3-10105 10代酷睿处理器主板CPU套装,1598.00,,,0,jfs/t1/378873/23/10945/114913/694b5ff9Fa2a437db/a51972779f9dc0e9.jpg,0,紧凑设计;稳定性能,100309008596,,100309008596
英特尔酷睿i3 CPU 自营,昂达（ONDA）CPU主板套装 H610-VH4-B 14-12代主板+英特尔(Intel) 13代 酷睿 i3-13100 板U套装,1465.00,,i3-13100,67,jfs/t1/324491/13/25089/128708/68da3c3aFb8265ae8/7e918b8e60df2e24.jpg,0,13100;H610主板;套装,100081235897,100+,100081235897
英特尔酷睿i3 CPU 自营,昂达（ONDA）CPU主板套装 H510E 10代主板+英特尔(Intel)  10代酷睿 i3-10105 板U套装,1065.00,,,64,jfs/t1/381768/38/16242/124728/695def28Fd98345ec/12d9676597282100.jpg,0,板U套装;10代主板;10105;超值组合;紧凑设计;多接口支持;高效处理器;超值套装;英特尔酷睿,100234497221,,100234497221
英特尔酷睿i3 CPU 自营,铭瑄 MS-终结者B760ITX D4 WIFI主板+英特尔13代酷睿i3-13100处理器主板CPU套装,1919.00,铭瑄京东自营旗舰店,13100,200+,jfs/t1/232234/35/12274/94655/659b8dfeFf9d53761/63c120bdb0208afc.jpg,1000094211,性能强劲;高速互联;扩展性强,100085362810,400+,100085362810
英特尔酷睿i3 CPU 自营,铭瑄 MS-终结者B760M D4 WIFI 主板+英特尔13代酷睿i3-13100处理器主板CPU套装,1869.00,铭瑄京东自营旗舰店,13100,0,jfs/t1/249574/6/2083/113230/6597c41bFa6d2a16b/e0ef18f08cc1847b.jpg,1000094211,性能强劲;扩展性强;高速互联,100080692047,,100080692047
英特尔酷睿i3 CPU 自营,铭瑄 MS-终结者B760M D4 主板+英特尔13代酷睿i3-13100处理器主板CPU套装,1819.00,铭瑄京东自营旗舰店,13100,0,jfs/t1/227973/23/11369/112915/6597b489F4a2526da/2dbc12ad02e2fe59.jpg,1000094211,性能强劲;扩展性强,100085362786,,100085362786
英特尔酷睿i3 CPU 自营,英特尔（Intel）酷睿14代 i7处理器14790F 16核24线程 睿频至高可达5.4Ghz 36M三级缓存 台式机盒装CPU,2149.00,英特尔京东自营旗舰店,i7-14790F盒装CPU,500+,jfs/t1/428814/39/2471/103454/69f19dd7Fcd5ea1bf/00833203209058f9.png,1000000693,高速缓存;高效多核;游戏利器;多任务处理,100270256934,800+,100270256934
英特尔酷睿i3 CPU 自营,英特尔12代 i5-12490F CPU处理器,1059.00,英特尔京东自营旗舰店,12490F盒装CPU,10万+,jfs/t1/426969/4/7758/109805/69f19dd3Fc0fe7090/0083320320c1b7c8.png,1000000693,高效缓存;稳定运行;强劲性能;多线程支持,100037299996,10万+,100037299996
英特尔酷睿i3 CPU 自营,英特尔（Intel）酷睿14代 i5处理器14400F 10核16线程 睿频至高可达4.7Ghz 20M三级缓存 台式机盒装CPU,1209.00,英特尔京东自营旗舰店,i5-14400F盒装CPU,2000+,jfs/t1/426645/40/8981/341982/69f19ddbF72255344/008332032016d702.png,1000000693,睿频4.7G;i5性价款;高效多核;大缓存20M,100081587517,5000+,100081587517
