商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
威普森（WINPSEN）19英寸显示器 LED高清监视器 家用办公工业安防监控电脑显示屏 HDMI+VGA接口 可壁挂,234.00,威普森（WINPSEN）京东自营旗舰店,19英寸高清/监控显示器/双接口,2万+,jfs/t1/417246/20/5460/201410/69d86d09Fbe942e66/0083320320af72c2.jpg,1000455643,,100059137853,2万+,100059137853
泰坦军团27英寸 双侧入光 2K 345Hz DyDs0.5ms HDR600 FastIPS硬件低蓝光 云上舞白电竞显示器 仓刀X276S+,1489.00,泰坦军团京东自营旗舰店,仓刀 27''2K 345Hz DyDs双侧入光,50万+,jfs/t1/413812/35/16641/143176/69d5bb35F88a650d6/00833203205c4f1c.jpg,1000169144,硬件低蓝光;0.5ms响应;硬件级低蓝光护眼;旋转升降底座,100318273942,80万+,100318273942
KTC 27英寸2K 220Hz高刷 10bit色深 FastIPS 快速液晶显示屏外接笔记本电脑显示器H27T22S新一代,689.00,KTC京东自营旗舰店,升级/27英寸2K/高刷220Hz,50万+,jfs/t1/417766/4/19550/443013/69e20282Ffd8a7e64/0083320320c7fee6.png,1000394329,FastIPS;10bit色深;HDR400;2K高清画质,100174244589,50万+,100174244589
小米（MI）REDMI 27英寸2K显示器 120Hz高刷新率 IPS技术 双重广色域电脑办公显示器 A27Q 2026款,649.00,小米京东自营旗舰店,【新】27英寸/2K/120Hz刷新,50万+,jfs/t1/413592/22/19011/109585/69d7026dF0fb92c24/00833203205274a6.jpg,1000004123,直面屏幕;节能环保;高刷新率;高清显示,100275929320,90万+,100275929320
HKC 23.8英寸2K 180Hz高刷FastIPS硬件低蓝光HDR400广色域1ms游戏电竞PS5电脑显示器猎鹰 G24H2经典版,749.00,HKC京东自营旗舰店,23.8英寸/2K/180Hz/小屏电竞旗舰,100万+,jfs/t1/407511/1/17768/135003/69c63a62F171368d0/0083320320dfb4af.jpg,1000000473,广色域显示;电竞色彩调校;FreeSync;IPS技术,100134678521,100万+,100134678521
AOC 27英寸2K 260Hz FastIPS快速液晶 0.3ms HDR400 硬件低蓝光 MBR FPS游戏电竞显示器 宙斯盾Q27G4Z,1156.00,AOC京东自营旗舰店,"27""2K/260Hz/硬件低蓝光/HDR400",100万+,jfs/t1/406397/19/13441/171026/69c0f0d0Fe124c16b/0083438438cc3550.jpg,1000000715,6轴色彩调教;三面微边;2K高清画质;0.3ms响应,100213828986,100万+,100213828986
KOORUI科睿24.5英寸 260Hz高刷 Fast-IPS 硬件低蓝光HDR400电竞亮度 1ms响应 暗区突围游戏电脑显示器X5,519.00,KOORUI京东自营旗舰店,【爆款】24.5/260Hz/HDR400认证,20万+,jfs/t1/424355/36/7794/154436/69ead876F370584f1/008332032032bc26.jpg,1000384384,快速响应;IPS技术;HDR显示;HDR400,100262217528,30万+,100262217528
海信GX 27英寸3A原画 黑曜屏 2304分区玻璃基MiniLED XDR2000nits 4K160Hz影游双模320Hz 电竞显示器,4399.00,海信（Hisense）显示器京东自营旗舰店,GX/27/黑曜屏/2304分区/影游双模,1万+,jfs/t1/411442/14/11418/154068/69ccece0Fa4b74af3/0083320320c9bbf0.jpg,1000346461,智能电视系统;店铺被8万人种草;画面超清晰,100223714711,2万+,100223714711
REDMI27英寸4K160Hz双模 G27U,1499.00,小米京东自营旗舰店,【新品上市】27英寸/4K/双模,10万+,jfs/t1/421824/11/2925/122306/69e1bb32F3838e791/0083320320db67f0.jpg,1000004123,双模电竞;4K高清画质;HDR400;FastIPS;27英寸大屏;160Hz高刷屏,100336344088,20万+,100336344088
AOC 27英寸2K 180Hz FastIPS 1ms 广色域 HDR 低蓝光不闪  MBRSync游戏电竞电脑显示器 宙斯盾Q27G41E,778.80,AOC京东自营旗舰店,27英寸2K/180Hz/1ms/FastIPS,100万+,jfs/t1/424257/21/15252/90547/69ef3329F459f1506/0083320320977c41.jpg,1000000715,逐台出厂校色;多接口设计;三面微边框;DC调光不闪屏,100158004158,100万+,100158004158
KTC 27英寸2K 275Hz高刷FastIPS快速液晶屏HDR400硬件低蓝光三角洲240Hz电竞游戏电脑显示器H27E7S,849.00,KTC京东自营旗舰店,新品/27英寸2K/275Hz/升降旋转,50万+,jfs/t1/412075/18/11035/134713/69ce3dc7Feff70431/0083320320881eb6.png,1000394329,快速响应;硬件低蓝光;HDR400;2K275Hz,100283189066,50万+,100283189066
HKC 23.8英寸260Hz高刷FastIPS硬件低蓝光125%sRGB出厂校色HDR400广色域1ms电竞游戏显示器G24H3Max,589.00,HKC京东自营旗舰店,23.8英寸/260Hz/HDR400/出厂校色,10万+,jfs/t1/332945/1/25027/718575/68f64ac7F3d042a3b/da368bfc2779b688.png,1000000473,尺寸超合适;5万+店铺粉丝浏览,100193608941,20万+,100193608941
HKC 27英寸2K 275Hz高刷FastIPS快速液晶HDR400硬件低蓝光无畏契约240Hz电竞游戏电脑显示器G27H4Max,998.00,HKC京东自营旗舰店,27英寸/2K/275Hz/电竞级色彩/1ms,100万+,jfs/t1/408704/29/12888/137968/69c63ac1Faed66425/00833203202be99b.jpg,1000000473,2K超清高画质;超频刷新不卡顿;硬件低蓝光;久战视觉不疲劳,100256777770,100万+,100256777770
泰坦27''2K 275Hz双侧入光技术屏,1109.00,泰坦军团京东自营旗舰店,27''2K 275Hz DyDs双侧入光 升降,50万+,jfs/t1/424575/27/6596/144805/69ead664Fd216d0ab/00833203207e0ffe.jpg,1000169144,双侧入光技术加持;硬件级低蓝光护眼;DyDs消除拖影;10Bit色彩;DyDs消拖影;硬件低蓝光;升降旋转底座;275Hz高刷新;2K高清画质;0.5ms响应,100327873174,80万+,100327873174
AOC 27英寸2K 原生320Hz 爱瞳圆偏光 硬件+AI动态低蓝光护眼 HDR400 1ms典雅白电竞显示器 Q27G4SL/WS,1399.00,AOC京东自营旗舰店,"27""2K320Hz/圆偏光+动态低蓝护眼",100万+,jfs/t1/410579/16/13476/155130/69cde1baFc799756c/008343843800d267.jpg,1000000715,HDR400;DP接口传输;HDMI2.1;FreeSync,100177980505,90万+,100177980505
创维（Skyworth）27英寸电竞显示器2K 220Hz 560nit高亮FastIPS光感屏变HDR400 10bit原生200Hz旋转升降F27G32Q Pro,829.00,创维显示器京东自营旗舰店,热销/27英寸2K/220Hz/旋转升降,5万+,jfs/t1/428415/25/1639/156348/69ef84ecF60325c0e/0083320320aba113.jpg,1000093210,店铺被10万人种草;调光无频闪,100165938093,7万+,100165938093
HKC 24.5英寸2K原生275Hz高刷FastIPS快速液晶HDR400无畏契约1ms电竞游戏旋转升降电脑显示器巡航Q5,1298.00,HKC京东自营旗舰店,24.5英寸/2K/原生275Hz/HDR400,100万+,jfs/t1/414004/3/3728/193361/69cf979fF2b9d73ea/0083320320f1bff4.jpg,1000000473,电竞级体验;2K高清画质;超高刷丝滑流畅;电竞色彩调校,100226173767,100万+,100226173767
泰坦 27''2K 275Hz双侧入光0.5ms,1049.00,泰坦军团京东自营旗舰店,27''2K 275Hz DyDs0.5ms双侧入光,50万+,jfs/t1/411775/39/20648/132009/69d5bb49F0f26e59e/008332032067cbc0.jpg,1000169144,硬件级低蓝光护眼;双侧入光画质通透;隐藏式耳机挂钩;三面微边框;10Bit色彩;DyDs消拖影;硬件低蓝光;275Hz高刷新;双侧入光;2K高清画质,100332577468,80万+,100332577468
AOC27英寸显示器超频210HZ 2K 快速液晶1ms响应 IPS小金刚 升降旋转 电脑游戏电竞显示器 Q27G4,999.00,AOC国产化京东自营专区,27英寸2K/FastIPS/210HZ升降旋转,5000+,jfs/t1/406365/30/9313/135886/69c34329F29df89f0/008332032021997a.jpg,1000471548,10Bit色彩;HDR400;精准校色;升降旋转;210Hz刷新;IPS面板,100333632234,9000+,100333632234
KTC 大师27M1 Pro 27英寸2K高清275Hz高刷,929.00,KTC京东自营旗舰店,大师/27英寸2K/275Hz/立体化音响,50万+,jfs/t1/410878/34/16150/425227/69cf5d38Fd7d5adee/02583203205214ce.png,1000394329,,100282148974,50万+,100282148974
KTC 24.5寸 260Hz 电竞屏,539.00,KTC京东自营旗舰店,升级/24.5英寸/260Hz高刷,50万+,jfs/t1/411666/5/12970/117864/69ce3dcdF934d7a04/0083320320ecd808.png,1000394329,电影级色域;生动色彩;HDR画质;HDR10支持,100093345312,50万+,100093345312
康佳（KONKA）24.5英寸显示器 FHD 144Hz 护眼低蓝光 可壁挂 三微边设计家用办公显示器KM25F 2026新款,389.00,康佳（KONKA）显示器京东自营旗舰店,【新品】24.5吋高清144HZ显示器,5万+,jfs/t1/423080/11/17761/87729/69f026a1F1cea683c/00833203209e11ee.jpg,1000330244,家用办公优选;144HZ高刷;低蓝光护眼;120%SRGB;HDMI接口;高刷新率;内置音箱;三微边设计,100249265329,9万+,100249265329
小米（MI）REDMI 23.8英寸显示器A24 多功能支架版 2026款 144Hz IPS技术显示器 三微边设计电脑办公显示器,499.00,小米京东自营旗舰店,【新】23.8英寸/144Hz高刷,50万+,jfs/t1/394549/4/5050/111800/69845155F574bb6ce/00833203201ea807.jpg,1000004123,三微边框;轻松办公;专业色准;多功能支架,100288637200,90万+,100288637200
ANTGAMER蚂蚁电竞 24.5英寸2K300Hz显示器 氧化物FastIPS 10Bit HDR400 1msGTG DIC技术护眼低蓝光ANT253PQ,1683.00,ANTGAMER显示器京东自营旗舰店,热门爆款/24.5英寸/2K/原生300Hz,2万+,jfs/t1/364685/39/7142/737747/6929a200F97f178e5/9f5db2f3bec360cc.png,1000361385,超70万人关注店铺;2万+人已买,100134315729,3万+,100134315729
AOC 27英寸4K 160Hz双模320Hz HDR400 10bit 1ms 硬件低蓝光 电竞电脑显示器 宙斯盾U27G4 (高性能版),1599.00,AOC京东自营旗舰店,27英寸4K双模320Hz/HDR/高性能版,100万+,jfs/t1/406126/28/17721/145956/69c0f1d3F59c56803/0083438438eda17a.jpg,1000000715,三面微边框;硬件低蓝光;320HZ双模;1ms响应时间,100228158234,90万+,100228158234
HKC 2K 235Hz白色电竞显示器,999.00,HKC京东自营旗舰店,27英寸/2K/235Hz/旋转升降/白色,100万+,jfs/t1/408997/13/12194/154834/69c63b97F4a94547a/0083320320036d7c.jpg,1000000473,10bit色深;235Hz高刷新;HDR400认证;自研DIC技术,100322572442,100万+,100322572442
戴尔（DELL）27英寸 2K 144Hz IPS硬件防蓝光 FreeSync  99%sRGB  办公家用显示器 游戏电竞电脑显示屏 SE2726D,899.00,戴尔显示器京东自营旗舰店,"【主推】27""2K/144Hz/99%sRGB",2万+,jfs/t1/424560/11/2926/118288/69e84d89F2f01f4d7/0083320320659215.jpg,1000000224,99%sRGB;家用佳选;144Hz高刷新;硬件防蓝光;2K高清画质;家用办公佳;IPS面板,100239772755,3万+,100239772755
AOC 27英寸2K FastIPS 200Hz 1ms HDR400 出厂校色 硬件低蓝光 MBR游戏电竞电脑显示器 宙斯盾Q27G4/D,999.00,AOC京东自营旗舰店,27英寸2K/200Hz/硬件低蓝光,100万+,jfs/t1/408939/30/175/135940/69c0f058F15f20114/00834384383a180d.jpg,1000000715,2K高清画质;硬件低蓝光;出厂校色精准;10bit色深,100190324682,100万+,100190324682
AOC显示器27英寸2K高清180HZ电竞Fast IPS 1msGtG响应外接笔记本电脑低蓝光不闪液晶显示屏Q27G40E,829.00,AOC国产化京东自营专区,27英寸/2K/180HZ/FastIPS,5000+,jfs/t1/312824/37/13757/113186/6863a4ebF0060d7ed/4d98a63c7b93a033.jpg,1000471548,不闪屏设计;低蓝光护眼;多接口支持;FastIPS,100198738854,9000+,100198738854
蜂王电竞27英寸2K144Hz电竞显示器IPS高刷办公游戏电脑屏幕主机HDMI高清显示屏设计剪辑扩展屏副屏影音娱乐,538.00,蜂王电竞京东自营旗舰店,【2K爆款】27英寸2K144Hz电竞,5万+,jfs/t20280427/425290/29/12353/188519/69f0769cF8216ddcf/0a0232032097f1a3.jpg,1000487060,高刷流畅;高清显示;直面屏幕;高刷电竞办公,100307974850,6万+,100307974850
小米REDMI 24.5英寸电竞显示器 240Hz高刷新率 Fast IPS HDR400 1ms GTG 电脑显示屏G25 2026,599.00,小米京东自营旗舰店,【新品上市】24.5英寸/240Hz,10万+,jfs/t1/417517/12/14810/134088/69df4552Fe4291eda/008332032042a260.jpg,1000004123,,100336363614,20万+,100336363614
AOC 27英寸2K260Hz FastIPS 快速液晶1ms 硬件低蓝光 HDR游戏电竞显示器 新战神Q27G41ZE（高性能版）,949.00,AOC京东自营旗舰店,27英寸2K260Hz/HDR10/高性能版,100万+,jfs/t1/423083/20/17010/108384/69ef335aF1e3215e1/00833203202608c4.jpg,1000000715,1ms响应速度;1ms GTG;DP接口传输;2K高清画质,100174088253,100万+,100174088253
HKC 24.5英寸320Hz FastIPS快速液晶HDR400硬件低蓝光1ms升降旋转电竞游戏300Hz显示器 猎鹰G25H3Pro,849.00,HKC京东自营旗舰店,24.5英寸/320Hz/硬件低蓝光/1ms,100万+,jfs/t1/428342/7/1145/188267/69ef2ea2Fffd3d739/008332032008e152.jpg,1000000473,FreeSync;升降旋转;硬件低蓝光;HDR400,100197275298,100万+,100197275298
SANC盛色27英寸2K210Hz电竞显示器FastIPS硬件低蓝光IGZO氧化物技术10Bit 500nit高亮屏幕G72Max增强版,777.00,SANC京东自营旗舰店,27英寸/2K200Hz原生/升降支架,20万+,jfs/t1/419975/27/7971/148869/69e302faFc0740159/0083320320ee418f.jpg,1000410984,2K高清画质;G72Max增强;金属升降支架;硬件低蓝光,100167736663,20万+,100167736663
AOC 27英寸4K 190Hz/FHD 380Hz双模 1ms HDR400 10bit硬件低蓝光 三角洲游戏电竞显示器 宙斯盾U27G4F,1999.00,AOC京东自营旗舰店,[新]27英寸4K190Hz/FHD380Hz双模,100万+,jfs/t1/425051/10/12919/148745/69f02352F9de5c1f2/0083438438e3f31d.jpg,1000000715,旋转升降;HDR400;190Hz刷新;10bit色彩,100219182531,90万+,100219182531
泰坦军团24.5英寸升级215Hz HDR400nit高亮 硬件级低蓝光护眼FastIPS 1级能效电竞显示器原生200Hz P2510G+,499.00,泰坦军团京东自营旗舰店,24.5英寸 215Hz 硬件低蓝光,50万+,jfs/t1/422438/38/13530/150751/69e9b0c7Fb9978d01/0083320320366ef6.jpg,1000169144,400尼特高亮度;硬件护眼;一级能效更环保哦;DP接口,100269132612,80万+,100269132612
AOC24.5英寸电竞显示器Fast IPS 260Hz高刷超频HDR10硬件低蓝光外接笔记本电脑显示屏25G50Z,679.00,AOC国产化京东自营专区,24.5英寸/FastIPS/260HZ,5000+,jfs/t1/422353/24/17137/127513/69eb3990F7d6258c6/0083320320113c8a.jpg,1000471548,FastIPS;HDR10;260Hz刷新率;直面屏幕;精准校色;快速响应;IPS技术;高刷流畅;HDR显示;低蓝光护眼,100281325876,9000+,100281325876
小米（MI）REDMI27英寸4K专业级色准HDR400 10Bit Type-C90W 适配17PM旋转升降办公显示器屏A27UType-C版2026,1399.00,小米京东自营旗舰店,【新】27英寸/4K/HDR400/Type-C,50万+,jfs/t1/400715/23/5132/118263/69a79cc7F432c7213/0083320320238bd5.jpg,1000004123,IPS面板;旋转升降;90W充电;HDR400,100265868194,90万+,100265868194
REDMI显示器G27Q多功能支架2026,789.00,小米京东自营旗舰店,27英寸/2K/HDR400/多功能支架,10万+,jfs/t1/422721/40/19249/149953/69ef0867F21980374/008332032094190b.jpg,1000004123,200Hz高刷;HDR400;HDMI接口;快速液晶,100275591216,20万+,100275591216
AOC 27英寸显示器 2K高清 144Hz IPS 快速液晶 HDR10 低蓝光不闪 电竞小钢炮 Q27G50F,799.00,AOC国产化京东自营专区,27英寸/2K/144HZ/IPS,5000+,jfs/t1/419692/11/17714/188215/69e73aa6F26967b70/0083320320cc9b34.jpg,1000471548,IPS快速液晶;2K高清;144HZ高刷;精准校色出厂;快速响应;144Hz流畅;HDR10技术;144Hz高刷新;高清细腻;硬件低蓝光,100276225626,9000+,100276225626
小米（MI）REDMI 27英寸2K显示器 120Hz IPS技术 广色域电脑办公显示器 A27Q多功能支架2026款,799.00,小米京东自营旗舰店,【新】27英寸/2K/120Hz/旋转升降,50万+,jfs/t1/388909/25/18856/114443/69845206F1cd550b7/00833203203f9f25.jpg,1000004123,HDMI接口;多功能支架;广色域显示;节能二级,100207738135,90万+,100207738135
AOC 23.8英寸2K 180Hz高刷护眼办公 FastIPS HDR 6轴调色 出厂校色 低蓝光不闪 电竞电脑显示器Q24G51,869.00,AOC京东自营旗舰店,[新]23.8英寸2K/180Hz/出厂校色,100万+,jfs/t1/424500/1/3614/132274/69e89436F125a9f1b/0083320320d220fb.jpg,1000000715,,100349630086,100万+,100349630086
酷开创维酷开27英寸4K超清显示器窄边可壁挂家用低蓝光不闪屏广视角超薄游戏办公电脑液晶显示屏27K16,689.00,酷开（coocaa）显示器京东自营旗舰店,【新品】27英寸/4K/三面窄边,20万+,jfs/t1/422695/12/9920/123403/69e8705fF50e0dca5/00833203208e2289.jpg,1000423087,4K高清画质;低蓝光广视角;三面窄边框;可壁挂设计;俯仰角调节;丰富接口;不闪屏技术;窄边设计;低蓝光护眼;壁挂安装,100316940300,20万+,100316940300
